기사 제목,이모티콘 수,댓글 수,게시된 시간,기자 이름,구독 수,응원 수,이미지 title,원본기사주소
"美, 中과 바이오 협력 규제·日, 민간 협업해 신약개발 강화[클릭, 글로벌 제약·바이오]","['0', '0', '0', '0', '1']",0,오후 11:56,유진희,502,552,이데일리,https://n.news.naver.com/mnews/article/018/0005743522?sid=101
반박 나선 민희진 “접대한다고 룸살롱 들락대는 것도 감사했나”,"['38', '6', '63', '0', '27']",372,오후 11:40,null,0,0,매경이코노미,https://n.news.naver.com/mnews/article/024/0000089207?sid=101
이정재 회당 출연료 13억... 넷플릭스 ‘돈폭탄’에 몸값 올랐다,"['3', '2', '2', '1', '7']",55,오후 11:25,null,0,0,매경이코노미,https://n.news.naver.com/mnews/article/024/0000089206?sid=101
"""라돈 차단·저감"" 과장광고 6개 페인트 업체 제재","['0', '0', '0', '0', '0']",0,오후 11:06,이승은,"1,501","1,032",YTN,https://n.news.naver.com/mnews/article/052/0002037357?sid=101
"[포토] “아이, 신난다!”","['0', '0', '0', '1', '0']",0,오후 11:01,null,0,0,국민일보,https://n.news.naver.com/mnews/article/005/0001697078?sid=101
반도체·배터리 등 첨단산업 석박사 인재 2000명 키운다,"['0', '1', '1', '0', '1']",15,오후 11:00,송현수,"1,496","1,397",부산일보,https://n.news.naver.com/mnews/article/082/0001270599?sid=101
"[주목! e기술]CD47 억제, 세균 중복 감염 사망률 55%↓","['1', '0', '0', '0', '0']",0,오후 10:46,송영두,932,955,이데일리,https://n.news.naver.com/mnews/article/018/0005743519?sid=101
"트럼프, 3선 대통령 야심 시사…""루즈벨트는 16년 재임""","['2', '0', '1', '0', '0']",6,오후 10:45,권해영,"1,457",352,아시아경제,https://n.news.naver.com/mnews/article/277/0005420126?sid=101
"[해수부 소식] 해수부, 수입수산물 원산지 표시 특별점검…내달 21일까지外","['0', '0', '0', '0', '0']",0,오후 10:40,송현수,"1,496","1,397",부산일보,https://n.news.naver.com/mnews/article/082/0001270598?sid=101
"‘15조원 규모’ 미래 직류배전망 청사진, 한국이 그린다  ","['0', '0', '0', '0', '0']",3,오후 10:22,송현수,"1,496","1,397",부산일보,https://n.news.naver.com/mnews/article/082/0001270597?sid=101
금리 11연속 동결 전망...성장률은 상향 가능성↑,"['1', '0', '0', '0', '0']",3,오후 10:20,이형원,"1,126",330,YTN,https://n.news.naver.com/mnews/article/052/0002037347?sid=101
K-라면의 매운 성장세...지난달 수출 1억 달러 첫 돌파,"['0', '0', '0', '0', '0']",2,오후 10:19,황보혜,"1,752","1,699",YTN,https://n.news.naver.com/mnews/article/052/0002037346?sid=101
“비트코인 사느니 테마주 살래요”…7배 더 뛴 ‘이 종목’,"['7', '1', '0', '0', '3']",13,오후 10:13,최근도,"1,829","2,324",매일경제,https://n.news.naver.com/mnews/article/009/0005305495?sid=101
韓 빼고… 주요 20개국 중 14곳 증시 ‘최고치’,"['8', '4', '9', '1', '13']",139,오후 10:11,권오은,"1,936","1,169",조선비즈,https://n.news.naver.com/mnews/article/366/0000993412?sid=101
"'라돈 차단' 허위광고…공정위, 페인트업체 6개사에 시정명령","['0', '0', '0', '0', '0']",0,오후 10:08,송현수,"1,496","1,397",부산일보,https://n.news.naver.com/mnews/article/082/0001270595?sid=101
증시 세계적 '불장'…신고가 행진 잇따라,"['3', '1', '1', '0', '3']",41,오후 9:52,null,0,0,한국경제TV,https://n.news.naver.com/mnews/article/215/0001162578?sid=101
직구 막히자... 맘카페 이어 커피·오디오 동호회까지 반발,"['24', '3', '12', '1', '9']",126,오후 9:50,신지인,958,527,조선일보,https://n.news.naver.com/mnews/article/023/0003835045?sid=101
승선 인원 2명 이하 소형어선 탑승때 '구명조끼 착용' 의무화,"['0', '0', '0', '0', '0']",0,오후 9:49,송현수,"1,496","1,397",부산일보,https://n.news.naver.com/mnews/article/082/0001270594?sid=101
